pharos_id,dataset_id,sample_id,animal_id,host_species,host_species_ncbi_tax_id,spatial_uncertainty,collection_date,collection_method_or_tissue,detection_method,primer_sequence,primer_citation,detection_target,detection_target_ncbi_tax_id,detection_outcome,detection_measurement,detection_measurement_units,pathogen,pathogen_ncbi_tax_id,genbank_accession,detection_comments,organism_sex,dead_or_alive,health_notes,life_stage,age,mass,length,latitude,longitude,wkt
prjDRDdtkMtWe-setAKoePEch9e-recDxrRaFJoMa,setAKoePEch9e,189,,Vulpes vulpes,9627,,2010-03-12,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.447653,13.365072,POINT(13.365072 52.447653)
prjDRDdtkMtWe-setAKoePEch9e-reczWqNcopZkF,setAKoePEch9e,191,,Vulpes vulpes,9627,,2010-03-23,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.450961,13.434838,POINT(13.434838 52.450961)
prjDRDdtkMtWe-setAKoePEch9e-reczD8z6YLAFi,setAKoePEch9e,193,,Vulpes vulpes,9627,,2010-03-30,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.395607,13.632405,POINT(13.632405 52.395607)
prjDRDdtkMtWe-setAKoePEch9e-recGYEZV9p5Gt,setAKoePEch9e,194,,Vulpes vulpes,9627,,2010-03-30,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.434425,13.280798,POINT(13.280798 52.434425)
prjDRDdtkMtWe-setAKoePEch9e-rectkLvhdoeYj,setAKoePEch9e,195,,Vulpes vulpes,9627,,2010-03-31,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.450802,13.295249,POINT(13.295249 52.450802)
prjDRDdtkMtWe-setAKoePEch9e-recTfVXGTpJTm,setAKoePEch9e,196,,Vulpes vulpes,9627,,2010-04-02,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.494762,13.262637,POINT(13.262637 52.494762)
prjDRDdtkMtWe-setAKoePEch9e-recGS4eAy2aps,setAKoePEch9e,197,,Vulpes vulpes,9627,,2010-04-14,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.508963,13.435965,POINT(13.435965 52.508963)
prjDRDdtkMtWe-setAKoePEch9e-recp7SlHj32o3,setAKoePEch9e,198,,Vulpes vulpes,9627,,2010-04-17,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,adult,,,,52.436629,13.25393,POINT(13.25393 52.436629)
prjDRDdtkMtWe-setAKoePEch9e-recuvoPU5RIq8,setAKoePEch9e,199,,Vulpes vulpes,9627,,2010-04-18,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,unknown,,,,52.593219,13.350925,POINT(13.350925 52.593219)
prjDRDdtkMtWe-setAKoePEch9e-recX61Xw7NcxW,setAKoePEch9e,200,,Vulpes vulpes,9627,,2010-04-29,,Antibody immunofluorescence test,,,Canine distemper virus,11233,negative,,,Canine distemper virus,11233,,,male,dead,,juvenile,,,,52.606271,13.23192,POINT(13.23192 52.606271)
